"id","class_id","class_date","start","end","allowed","minimum_students","cancel_class_before_due_to_min_student_hour","cancel_class_before_due_to_min_student_minute","repeat","session_timings","booking_start","booking_start_minute","booking_end","booking_end_minute","cancel_start","cancel_start_minute","cancel_end","cancel_end_minute","attendace_before_hour","attendace_before_minute","attendace_after_hour","attendace_after_minute","session_end_date","choose_period","week_days","month_days","status","updated_at","created_at"
"52","64","2022-11-14 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0",NULL,"24",NULL,"24",NULL,"5",NULL,"5",NULL,"0","40","1","0","0000-00-00 00:00:00",NULL,"[""1"",""2"",""3"",""4""]",NULL,"a","2022-11-14 22:43:21","2022-11-14 22:43:21"
"53","64","2022-11-14 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0",NULL,"24",NULL,"24",NULL,"5",NULL,"5",NULL,"0","40","1","0","0000-00-00 00:00:00",NULL,"[""1"",""2"",""3"",""4""]",NULL,"a","2022-11-14 22:43:52","2022-11-14 22:43:52"
"54","68","2022-12-02 00:00:00",NULL,NULL,"30","2","2",NULL,"0","{""1"":{""start"":[""11:00"",""19:00""],""status"":[""1"",""1""],""end"":[""12:00"",""20:00""]},""2"":{""start"":[""06:30"",""12:00"",""20:00""],""status"":[""1"",""1"",""1""],""end"":[""07:30"",""13:00"",""21:00""]},""3"":{""start"":[""11:00"",""19:00""],""status"":[""1"",""1""],""end"":[""12:00"",""20:00""]},""4"":{""start"":[""06:30"",""12:00"",""20:00""],""status"":[""1"",""1"",""1""],""end"":[""07:30"",""13:00"",""21:00""]},""5"":{""start"":[""11:00"",""19:00""],""status"":[""1"",""1""],""end"":[""12:00"",""20:00""]},""6"":{""start"":[""11:00""],""status"":[""1""],""end"":[""12:00""]}}","168",NULL,"1",NULL,"168","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"d","2024-07-27 08:52:20","2022-12-02 11:47:10"
"58","69","2022-12-08 00:00:00",NULL,NULL,"30","2","3","30","0","{""1"":{""start"":[""20:00""],""status"":[""1""],""end"":[""21:00""]},""3"":{""start"":[""20:00""],""status"":[""1""],""end"":[""21:00""]},""4"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""6"":{""start"":[""13:00""],""status"":[""1""],""end"":[""14:00""]}}","1680",NULL,"1",NULL,"167","0","0","1","3",NULL,"0","15","2026-04-30 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2024-07-27 08:53:49","2022-12-08 11:01:58"
"59","77","2022-12-08 00:00:00",NULL,NULL,"30","2","4",NULL,"0","{""2"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""5"":{""start"":[""20:00""],""status"":[""1""],""end"":[""21:00""]}}","1680",NULL,"1",NULL,"168",NULL,"0","1","1","0","0","15","2027-12-31 00:00:00",NULL,"[""2"",""3"",""5""]",NULL,"a","2024-07-23 09:20:56","2022-12-08 11:10:42"
"69","83","2022-12-01 00:00:00",NULL,NULL,"100",NULL,NULL,NULL,"0",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00",NULL,"[""0"",""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2022-12-12 11:15:03","2022-12-12 11:15:03"
"70","83","2022-12-01 00:00:00",NULL,NULL,"33",NULL,NULL,NULL,"0",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00",NULL,"[""0"",""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2022-12-12 11:15:36","2022-12-12 11:15:36"
"71","83","2022-12-01 00:00:00",NULL,NULL,"33",NULL,NULL,NULL,"0",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,"0000-00-00 00:00:00",NULL,"[""0"",""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2022-12-12 11:16:11","2022-12-12 11:16:11"
"72","83","2022-12-01 00:00:00",NULL,NULL,"33",NULL,NULL,NULL,"0","[{""start"":[""00:24""],""end"":[""15:25""]},{""start"":[""01:27""],""end"":[""15:54""]},{""start"":[""01:26""],""end"":[""06:27""]}]","1",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,"1",NULL,"0000-00-00 00:00:00",NULL,"[""0"",""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2022-12-12 11:24:52","2022-12-12 11:24:52"
"82","87","2023-03-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""06:30"",""12:00""],""status"":[""1""],""end"":[""08:00"",""13:30""]},""2"":{""start"":[""18:45""],""end"":[""20:00""]},""3"":{""start"":[""06:30"",""12:00""],""status"":[""1""],""end"":[""08:00"",""13:30""]},""4"":{""start"":[""18:45""],""end"":[""20:00""]},""5"":{""start"":[""12:00""],""end"":[""13:30""]},""6"":{""start"":[""11:00""],""end"":[""12:30""]}}","200","0","0","15","200","0","0","15","1","0","0","15","2023-08-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5"",""6""]",NULL,NULL,"2023-03-29 12:27:48","2023-03-29 10:03:05"
"83","88","2023-03-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""20:00""],""end"":[""21:30""]},""2"":{""start"":[""20:00""],""end"":[""21:30""]},""3"":{""start"":[""20:00""],""end"":[""21:30""]},""4"":{""start"":[""20:00""],""end"":[""21:30""]},""5"":{""start"":[""06:30""],""end"":[""08:00""]}}","100","0","0","15","100","0","0","15","1","0","0","15","2023-08-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2023-03-29 12:11:37","2023-03-29 12:11:37"
"84","89","2023-03-01 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""0"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:30""]},""2"":{""start"":[""12:00""],""status"":[""1""],""end"":[""13:30""]},""4"":{""start"":[""12:00""],""status"":[""1""],""end"":[""13:30""]},""5"":{""start"":[""17:30""],""status"":[""1""],""end"":[""19:00""]}}","200","0","0","15","200","0","0","15","1","0","0","15","2023-08-31 00:00:00",NULL,"[""0"",""2"",""4"",""5""]",NULL,NULL,"2023-03-29 12:17:44","2023-03-29 12:16:06"
